date,demand,forecast,forecast_error,forecast_error_pct,tavg,tmax,tmin,temp_category,temperature_stress,demand_per_stress_degree
2025-12-07,2410215,2348527.0,61688.0,2.5594,35.5,44,27,Cold,29.5,81702.2034
2025-12-08,2671446,2639804.0,31642.0,1.1845,29.5,38,21,Very Cold,35.5,75252.0
2025-12-09,2755234,2683834.0,71400.0,2.5914,24.5,34,15,Very Cold,40.5,68030.4691
2025-12-10,2590323,2529629.0,60694.0,2.3431,38.5,47,30,Cold,26.5,97748.0377
2025-12-11,2631795,2598944.0,32851.0,1.2482,33.5,39,28,Cold,31.5,83549.0476
2025-12-12,2654460,2621665.0,32795.0,1.2355,30.5,37,24,Very Cold,34.5,76940.8696
2025-12-13,2571237,2477086.0,94151.0,3.6617,32.5,43,22,Cold,32.5,79114.9846
2025-12-14,2753620,2695663.0,57957.0,2.1048,27.0,33,21,Very Cold,38.0,72463.6842
2025-12-15,3038972,2899403.0,139569.0,4.5926,25.0,31,19,Very Cold,40.0,75974.3
2025-12-16,2807541,2797257.0,10284.0,0.3663,26.0,32,20,Very Cold,39.0,71988.2308
2025-12-17,2544299,2593341.0,-49042.0,-1.9275,34.0,46,22,Cold,31.0,82074.1613
2025-12-18,2444548,2412623.0,31925.0,1.306,41.0,51,31,Cold,24.0,101856.1667
2025-12-19,2426245,2402183.0,24062.0,0.9917,45.5,59,32,Cold,19.5,124422.8205
2025-12-20,2449173,2379089.0,70084.0,2.8615,33.5,40,27,Cold,31.5,77751.5238
2025-12-21,2365041,2381195.0,-16154.0,-0.683,37.5,47,28,Cold,27.5,86001.4909
2025-12-22,2545592,2563195.0,-17603.0,-0.6915,31.5,41,22,Very Cold,33.5,75987.8209
2025-12-23,2373132,2437627.0,-64495.0,-2.7177,37.0,40,34,Cold,28.0,84754.7143
2025-12-24,2148995,2245098.0,-96103.0,-4.472,41.5,49,34,Cold,23.5,91446.5957
2025-12-25,2054680,2163578.0,-108898.0,-5.3,40.0,51,29,Cold,25.0,82187.2
2025-12-26,2293161,2310445.0,-17284.0,-0.7537,25.0,29,21,Very Cold,40.0,57329.025
2025-12-27,2240161,2219555.0,20606.0,0.9198,26.0,31,21,Very Cold,39.0,57440.0256
2025-12-28,2226570,2231125.0,-4555.0,-0.2046,27.5,36,19,Very Cold,37.5,59375.2
2025-12-29,2417605,2431399.0,-13794.0,-0.5706,39.5,47,32,Cold,25.5,94808.0392
2025-12-30,2706831,2731502.0,-24671.0,-0.9114,31.5,36,27,Very Cold,33.5,80800.9254
2025-12-31,2609092,2718077.0,-108985.0,-4.1771,30.5,35,26,Very Cold,34.5,75625.8551
